file,row,seance,size_bytes,dark_pixels,total_pixels,density
row73_seance6.jpg,73,6,2136,270,12040,0.0224
row33_seance8.jpg,33,8,2778,274,12198,0.0225
row51_seance10.jpg,51,10,2491,271,12040,0.0225
row63_seance7.jpg,63,7,2319,266,11816,0.0225
row84_seance7.jpg,84,7,2432,266,11816,0.0225
row24_seance6.jpg,24,6,2354,267,11816,0.0226
row64_seance7.jpg,64,7,2647,267,11816,0.0226
row85_seance6.jpg,85,6,2291,271,11984,0.0226
row85_seance7.jpg,85,7,2477,268,11872,0.0226
row28_seance10.jpg,28,10,2536,268,11770,0.0228
row32_seance10.jpg,32,10,2479,268,11770,0.0228
row79_seance7.jpg,79,7,2643,265,11605,0.0228
row38_seance9.jpg,38,9,2473,272,11872,0.0229
row27_seance10.jpg,27,10,2317,277,12040,0.023
row23_seance7.jpg,23,7,2543,276,11816,0.0234
row38_seance10.jpg,38,10,2747,280,11984,0.0234
row79_seance6.jpg,79,6,2380,276,11770,0.0234
row25_seance10.jpg,25,10,2297,283,12040,0.0235
row69_seance6.jpg,69,6,2391,282,11984,0.0235
row70_seance7.jpg,70,7,2663,278,11816,0.0235
row40_seance10.jpg,40,10,2789,283,11984,0.0236
row45_seance10.jpg,45,10,2240,283,11984,0.0236
row69_seance7.jpg,69,7,2372,280,11816,0.0237
row10_seance9.jpg,10,9,2869,277,11660,0.0238
row48_seance10.jpg,48,10,2846,294,12255,0.024
row59_seance7.jpg,59,7,2354,285,11816,0.0241
row81_seance8.jpg,81,8,2711,291,12040,0.0242
row86_seance6.jpg,86,6,2488,292,11825,0.0247
row4_seance6.jpg,4,6,2695,303,12141,0.025
row20_seance6.jpg,20,6,2758,302,11984,0.0252
row36_seance10.jpg,36,10,2597,303,12040,0.0252
row60_seance6.jpg,60,6,2405,302,11984,0.0252
row78_seance6.jpg,78,6,2621,303,12040,0.0252
row48_seance8.jpg,48,8,2978,310,12198,0.0254
row33_seance9.jpg,33,9,2578,308,12084,0.0255
row7_seance8.jpg,7,8,2791,309,12141,0.0255
row52_seance9.jpg,52,9,2550,310,12096,0.0256
row4_seance7.jpg,4,7,2782,314,12084,0.026
row61_seance6.jpg,61,6,2457,311,11984,0.026
row25_seance7.jpg,25,7,2843,316,12040,0.0262
row58_seance7.jpg,58,7,2506,318,12040,0.0264
row26_seance10.jpg,26,10,2469,319,12040,0.0265
row59_seance6.jpg,59,6,2403,320,11984,0.0267
row31_seance10.jpg,31,10,2786,325,11872,0.0274
row14_seance8.jpg,14,8,2469,333,12096,0.0275
row77_seance6.jpg,77,6,2366,332,12040,0.0276
row25_seance6.jpg,25,6,2697,330,11816,0.0279
row35_seance9.jpg,35,9,2534,331,11872,0.0279
row81_seance7.jpg,81,7,2553,333,11816,0.0282
row72_seance6.jpg,72,6,2566,342,12040,0.0284
row3_seance8.jpg,3,8,2813,335,11770,0.0285
row71_seance6.jpg,71,6,2628,343,12040,0.0285
row2_seance6.jpg,2,6,2960,341,11928,0.0286
row1_seance9.jpg,1,9,2411,337,11556,0.0292
